Date,Time,StoreID,Location,Product,Quantity,UnitPrice,PaymentType,TransactionID,Cashier,StoreManager,TimeOfDay,DayOfWeek,Sales
2024-12-09,21:31,S7,Store D,Phone,7,294.17,Debit Card,TX300058,C4,Noah,Evening,Monday,2059.19
2023-10-12,14:20,S10,Store D,Chair,6,338.25,Debit Card,TX300059,C5,Noah,Afternoon,Thursday,2029.5
2025-02-25,13:09,S10,Store D,Tablet,8,286.5,Debit Card,TX300060,C5,Mia,Afternoon,Tuesday,2292
2023-09-03,19:38,S3,Store D,Desk,7,221.11,Gift Card,TX300061,C4,Liam,Evening,Sunday,1547.77
2023-07-05,17:44,S8,Store C,Printer,2,367.88,Cash,TX300062,C1,Liam,Evening,Wednesday,735.76
2023-11-08,14:37,S9,Store C,Laptop,7,388.02,Credit Card,TX300063,C4,Mia,Afternoon,Wednesday,2716.14
2023-11-15,17:05,S6,Store C,Laptop,5,121.92,Online,TX300064,C4,Mia,Evening,Wednesday,609.6
2023-08-24,18:57,S7,Store C,Printer,10,306.37,Cash,TX300065,C2,Noah,Evening,Thursday,3063.7
2023-01-31,15:30,S1,Store C,Phone,10,241.6,Debit Card,TX300066,C1,Olivia,Afternoon,Tuesday,2416
2023-11-06,20:56,S1,Store B,Desk,8,354.29,Gift Card,TX300067,C2,Noah,Evening,Monday,2834.32
2023-03-16,11:33,S6,Store D,Tablet,4,133.01,Debit Card,TX300068,C2,Liam,Morning,Thursday,532.04
2025-03-04,19:04,S5,Store C,Phone,1,72.55,Gift Card,TX300069,C2,Mia,Evening,Tuesday,72.55
2023-04-20,9:49,S8,Store C,Desk,8,200.64,Debit Card,TX300070,C5,Liam,Morning,Thursday,1605.12
2023-05-16,21:12,S9,Store C,Phone,5,297.21,Debit Card,TX300071,C2,Noah,Evening,Tuesday,1486.05
2024-01-08,14:06,S5,Store D,Chair,2,171.3,Cash,TX300072,C4,Mia,Afternoon,Monday,342.6
2023-01-29,13:52,S8,Store D,Phone,9,158.37,Credit Card,TX300073,C5,Olivia,Afternoon,Sunday,1425.33
2024-07-27,21:36,S5,Store D,Monitor,6,98.03,Online,TX300074,C2,Noah,Evening,Saturday,588.18
2023-01-11,18:40,S6,Store D,Tablet,7,47.84,Credit Card,TX300075,C4,Mia,Evening,Wednesday,334.88
2024-11-07,11:15,S2,Store D,Printer,7,361.31,Debit Card,TX300076,C4,Mia,Morning,Thursday,2529.17
2025-06-17,13:49,S9,Store D,Laptop,4,346.87,Credit Card,TX300077,C3,Liam,Afternoon,Tuesday,1387.48
2024-10-08,10:19,S1,Store C,Monitor,3,140.31,Gift Card,TX300078,C4,Noah,Morning,Tuesday,420.93
2025-06-17,17:07,S9,Store C,Chair,4,209.05,Credit Card,TX300079,C1,Noah,Evening,Tuesday,836.2
2023-05-20,19:03,S7,Store C,Phone,9,173.09,Cash,TX300080,C5,Liam,Evening,Saturday,1557.81
2023-07-21,19:26,S4,Store D,Monitor,7,67.36,Cash,TX300081,C2,Olivia,Evening,Friday,471.52
2024-06-17,16:34,S8,Store C,Printer,5,319.05,Credit Card,TX300082,C5,Mia,Afternoon,Monday,1595.25
2023-06-15,14:34,S2,Store C,Desk,6,7.32,Debit Card,TX300083,C3,Liam,Afternoon,Thursday,43.92
2024-08-13,11:07,S10,Store B,Chair,2,26.32,Gift Card,TX300084,C4,Liam,Morning,Tuesday,52.64
2024-02-10,9:07,S4,Store A,Phone,1,61.14,Gift Card,TX300085,C5,Noah,Morning,Saturday,61.14
2024-10-25,11:16,S10,Store C,Laptop,4,350.33,Online,TX300086,C3,Liam,Morning,Friday,1401.32
2023-03-11,17:27,S2,Store B,Monitor,6,202.73,Credit Card,TX300087,C1,Olivia,Evening,Saturday,1216.38
2025-04-22,10:24,S4,Store A,Tablet,3,153.96,Credit Card,TX300088,C4,Olivia,Morning,Tuesday,461.88
2024-11-07,20:09,S8,Store C,Phone,6,309.7,Cash,TX300089,C2,Mia,Evening,Thursday,1858.2
2023-06-16,19:35,S7,Store D,Laptop,7,107.49,Cash,TX300090,C1,Noah,Evening,Friday,752.43
2024-07-23,16:48,S10,Store D,Desk,3,294.7,Credit Card,TX300091,C3,Mia,Afternoon,Tuesday,884.1
2024-11-05,21:00,S10,Store C,Desk,7,354.08,Gift Card,TX300092,C1,Mia,Evening,Tuesday,2478.56
2024-02-14,20:03,S4,Store C,Desk,3,267.22,Credit Card,TX300093,C2,Noah,Evening,Wednesday,801.66
2025-05-20,17:23,S5,Store C,Printer,7,190.84,Gift Card,TX300094,C5,Liam,Evening,Tuesday,1335.88
2025-06-20,15:14,S7,Store C,Laptop,5,238.89,Online,TX300095,C1,Mia,Afternoon,Friday,1194.45
2024-02-20,20:41,S8,Store D,Tablet,2,45.28,Cash,TX300096,C2,Noah,Evening,Tuesday,90.56
2023-02-17,12:49,S6,Store D,Printer,6,139.32,Credit Card,TX300097,C2,Liam,Afternoon,Friday,835.92
2024-07-02,11:25,S7,Store C,Desk,7,359.29,Gift Card,TX300098,C5,Mia,Morning,Tuesday,2515.03
2024-07-19,16:25,S6,Store B,Monitor,1,160.26,Online,TX300099,C1,Olivia,Afternoon,Friday,160.26
2024-03-20,14:56,S9,Store C,Desk,9,195.91,Credit Card,TX300100,C5,Liam,Afternoon,Wednesday,1763.19
2024-08-01,9:27,S6,Store A,Phone,2,273.4,Debit Card,TX300101,C2,Liam,Morning,Thursday,546.8
2024-05-06,17:10,S3,Store A,Laptop,5,78.56,Debit Card,TX300102,C4,Liam,Evening,Monday,392.8
2024-07-26,9:53,S1,Store C,Chair,2,82.84,Online,TX300103,C5,Mia,Morning,Friday,165.68
2024-12-24,12:38,S2,Store B,Phone,10,211.91,Credit Card,TX300104,C4,Noah,Afternoon,Tuesday,2119.1
2024-10-31,9:23,S7,Store C,Phone,2,327.69,Gift Card,TX300105,C5,Noah,Morning,Thursday,655.38
2024-12-30,10:56,S4,Store D,Desk,4,335.41,Debit Card,TX300106,C2,Noah,Morning,Monday,1341.64
2025-02-01,18:15,S9,Store A,Printer,9,131.76,Cash,TX300107,C3,Olivia,Evening,Saturday,1185.84
2025-04-30,19:17,S10,Store C,Desk,1,215.47,Gift Card,TX300108,C3,Mia,Evening,Wednesday,215.47
2025-04-05,15:08,S10,Store C,Printer,6,194.66,Cash,TX300109,C4,Olivia,Afternoon,Saturday,1167.96
2024-01-26,11:26,S7,Store D,Laptop,1,308.26,Online,TX300110,C4,Olivia,Morning,Friday,308.26
2024-08-18,15:42,S7,Store B,Phone,8,104.13,Debit Card,TX300111,C5,Liam,Afternoon,Sunday,833.04
2025-06-13,9:30,S9,Store C,Phone,7,398.83,Debit Card,TX300112,C4,Mia,Morning,Friday,2791.81
2024-06-18,20:33,S9,Store B,Phone,7,52.68,Gift Card,TX300113,C1,Olivia,Evening,Tuesday,368.76
2023-02-22,9:09,S10,Store B,Desk,8,82.48,Online,TX300114,C4,Olivia,Morning,Wednesday,659.84
2024-05-02,20:24,S6,Store D,Phone,10,346.62,Online,TX300115,C2,Mia,Evening,Thursday,3466.2
2025-01-24,20:32,S1,Store C,Tablet,9,302.23,Credit Card,TX300116,C2,Mia,Evening,Friday,2720.07
2023-09-07,21:22,S9,Store C,Monitor,10,355.74,Cash,TX300117,C3,Liam,Evening,Thursday,3557.4
2024-02-02,15:06,S4,Store C,Tablet,4,329.07,Credit Card,TX300118,C3,Noah,Afternoon,Friday,1316.28
2024-03-21,9:04,S7,Store A,Printer,4,217.89,Credit Card,TX300119,C4,Liam,Morning,Thursday,871.56
2023-12-06,11:18,S10,Store A,Phone,10,35.68,Debit Card,TX300120,C1,Noah,Morning,Wednesday,356.8
2023-05-03,17:31,S8,Store D,Printer,10,363.63,Credit Card,TX300121,C2,Olivia,Evening,Wednesday,3636.3
2024-01-08,20:18,S9,Store D,Chair,8,157.94,Gift Card,TX300122,C3,Olivia,Evening,Monday,1263.52
2024-02-27,13:38,S7,Store A,Desk,10,314.01,Credit Card,TX300123,C3,Mia,Afternoon,Tuesday,3140.1
2023-03-23,20:57,S7,Store D,Phone,4,199.4,Gift Card,TX300124,C5,Liam,Evening,Thursday,797.6
2024-05-17,12:37,S8,Store A,Desk,10,254.52,Online,TX300125,C3,Noah,Afternoon,Friday,2545.2
2024-05-08,20:06,S1,Store A,Monitor,5,377.06,Online,TX300126,C1,Mia,Evening,Wednesday,1885.3
2024-02-17,15:25,S2,Store C,Tablet,3,40.24,Debit Card,TX300127,C1,Olivia,Afternoon,Saturday,120.72
2023-05-28,15:34,S7,Store D,Printer,1,347.26,Credit Card,TX300128,C2,Olivia,Afternoon,Sunday,347.26
2023-10-28,9:11,S7,Store C,Tablet,2,229.45,Gift Card,TX300129,C5,Olivia,Morning,Saturday,458.9
2024-04-23,13:55,S1,Store C,Desk,1,31.5,Debit Card,TX300130,C1,Olivia,Afternoon,Tuesday,31.5
2024-09-01,14:54,S9,Store D,Phone,2,120,Credit Card,TX300131,C5,Mia,Afternoon,Sunday,240
2023-03-21,13:18,S3,Store B,Monitor,7,126.69,Credit Card,TX300132,C3,Olivia,Afternoon,Tuesday,886.83
2025-02-20,12:50,S1,Store B,Printer,6,221.43,Cash,TX300133,C2,Mia,Afternoon,Thursday,1328.58
2025-05-30,21:10,S7,Store C,Monitor,8,357.5,Cash,TX300134,C5,Mia,Evening,Friday,2860
2023-07-03,12:31,S1,Store B,Monitor,1,256.49,Debit Card,TX300135,C2,Olivia,Afternoon,Monday,256.49
2023-05-19,12:44,S3,Store A,Desk,2,303.65,Cash,TX300136,C5,Liam,Afternoon,Friday,607.3
2023-01-21,14:25,S6,Store A,Laptop,7,254.89,Online,TX300137,C1,Noah,Afternoon,Saturday,1784.23
2023-01-30,14:04,S5,Store D,Chair,9,102.38,Gift Card,TX300138,C3,Olivia,Afternoon,Monday,921.42
2024-02-10,11:55,S8,Store C,Laptop,10,380.63,Online,TX300139,C4,Noah,Morning,Saturday,3806.3
2024-02-25,14:10,S5,Store B,Monitor,5,252.42,Cash,TX300140,C2,Olivia,Afternoon,Sunday,1262.1
2024-07-14,21:03,S3,Store C,Chair,3,207.33,Gift Card,TX300141,C5,Liam,Evening,Sunday,621.99
2024-03-16,13:01,S3,Store B,Phone,3,269.43,Online,TX300142,C3,Mia,Afternoon,Saturday,808.29
2024-12-16,16:34,S2,Store A,Tablet,1,366.47,Credit Card,TX300143,C4,Olivia,Afternoon,Monday,366.47
2024-03-09,9:31,S8,Store D,Chair,3,180.96,Online,TX300144,C1,Noah,Morning,Saturday,542.88
2023-12-30,10:35,S8,Store A,Phone,4,67.39,Debit Card,TX300145,C2,Noah,Morning,Saturday,269.56
2024-11-10,13:58,S1,Store A,Desk,4,312.88,Credit Card,TX300146,C2,Liam,Afternoon,Sunday,1251.52
2023-06-30,20:47,S5,Store C,Printer,10,312.51,Gift Card,TX300147,C2,Noah,Evening,Friday,3125.1
2023-04-25,18:51,S6,Store A,Laptop,6,67.61,Debit Card,TX300148,C1,Mia,Evening,Tuesday,405.66
2024-02-19,13:37,S7,Store C,Desk,6,58.92,Online,TX300149,C3,Noah,Afternoon,Monday,353.52
2024-11-28,11:12,S1,Store C,Desk,7,230.74,Gift Card,TX300150,C3,Mia,Morning,Thursday,1615.18
2024-08-11,10:39,S10,Store D,Chair,10,19.49,Credit Card,TX300151,C3,Noah,Morning,Sunday,194.9
2023-10-09,10:32,S5,Store C,Laptop,2,373.03,Debit Card,TX300152,C4,Mia,Morning,Monday,746.06
2024-02-05,15:39,S4,Store D,Desk,6,338.2,Online,TX300153,C4,Noah,Afternoon,Monday,2029.2
2024-11-17,12:00,S4,Store D,Chair,1,8.05,Gift Card,TX300154,C3,Mia,Afternoon,Sunday,8.05
2023-12-01,9:47,S3,Store C,Laptop,4,310.75,Gift Card,TX300155,C5,Olivia,Morning,Friday,1243
2024-04-12,17:41,S8,Store A,Phone,3,76.92,Gift Card,TX300156,C1,Olivia,Evening,Friday,230.76
2024-07-31,21:01,S9,Store D,Phone,10,33.46,Online,TX300157,C1,Mia,Evening,Wednesday,334.6
2025-06-08,10:45,S10,Store B,Printer,10,27.94,Cash,TX300158,C5,Liam,Morning,Sunday,279.4
2023-04-05,12:34,S8,Store A,Chair,1,35.84,Cash,TX300159,C5,Noah,Afternoon,Wednesday,35.84
2023-05-08,10:05,S4,Store B,Monitor,5,326.65,Credit Card,TX300160,C4,Olivia,Morning,Monday,1633.25
2024-01-30,20:57,S9,Store B,Monitor,7,300.35,Credit Card,TX300161,C2,Olivia,Evening,Tuesday,2102.45
2025-05-23,20:03,S4,Store D,Laptop,4,368.51,Debit Card,TX300162,C1,Noah,Evening,Friday,1474.04
2023-01-24,16:56,S9,Store C,Chair,5,59.26,Gift Card,TX300163,C3,Noah,Afternoon,Tuesday,296.3
2025-01-20,20:13,S2,Store C,Laptop,9,55.64,Gift Card,TX300164,C2,Mia,Evening,Monday,500.76
2023-01-31,17:06,S10,Store A,Phone,6,129.21,Credit Card,TX300165,C3,Noah,Evening,Tuesday,775.26
2024-08-05,16:55,S9,Store B,Phone,4,162.23,Online,TX300166,C3,Noah,Afternoon,Monday,648.92
2024-09-14,9:10,S4,Store A,Chair,9,146.65,Cash,TX300167,C4,Liam,Morning,Saturday,1319.85
2024-07-27,18:49,S5,Store B,Phone,9,77.17,Debit Card,TX300168,C2,Olivia,Evening,Saturday,694.53
2023-05-24,12:04,S10,Store D,Monitor,5,216.28,Debit Card,TX300169,C4,Noah,Afternoon,Wednesday,1081.4
2023-01-06,19:03,S8,Store A,Phone,3,395.53,Credit Card,TX300170,C1,Mia,Evening,Friday,1186.59
2024-08-04,20:43,S8,Store D,Tablet,7,30.8,Gift Card,TX300171,C3,Olivia,Evening,Sunday,215.6
2023-09-21,18:53,S2,Store D,Laptop,5,181.86,Online,TX300172,C1,Mia,Evening,Thursday,909.3
2024-05-05,11:43,S5,Store C,Monitor,6,113.53,Debit Card,TX300173,C1,Liam,Morning,Sunday,681.18
2023-11-07,18:26,S1,Store B,Laptop,10,215.64,Gift Card,TX300174,C5,Mia,Evening,Tuesday,2156.4
2023-11-28,20:08,S4,Store B,Monitor,9,398.75,Online,TX300175,C1,Noah,Evening,Tuesday,3588.75
2024-07-14,14:59,S6,Store D,Desk,7,148.14,Gift Card,TX300176,C3,Liam,Afternoon,Sunday,1036.98
2023-02-08,13:57,S10,Store B,Printer,7,258.69,Credit Card,TX300177,C5,Mia,Afternoon,Wednesday,1810.83
2023-07-18,11:59,S6,Store D,Monitor,7,114.76,Gift Card,TX300178,C1,Olivia,Morning,Tuesday,803.32
2023-05-27,14:14,S4,Store A,Phone,3,58.45,Cash,TX300179,C2,Noah,Afternoon,Saturday,175.35
2023-05-15,19:19,S8,Store C,Monitor,10,238.87,Gift Card,TX300180,C2,Olivia,Evening,Monday,2388.7
2025-06-16,21:50,S7,Store C,Desk,9,222.61,Debit Card,TX300181,C5,Olivia,Evening,Monday,2003.49
2024-10-29,9:36,S7,Store D,Printer,6,154.89,Gift Card,TX300182,C4,Noah,Morning,Tuesday,929.34
2024-01-05,12:47,S5,Store C,Laptop,6,397.85,Debit Card,TX300183,C1,Liam,Afternoon,Friday,2387.1
2023-04-05,16:47,S7,Store A,Tablet,10,12.93,Credit Card,TX300184,C1,Noah,Afternoon,Wednesday,129.3
2023-01-14,19:42,S5,Store D,Tablet,2,223.23,Debit Card,TX300185,C3,Noah,Evening,Saturday,446.46
2023-06-18,20:21,S3,Store D,Desk,6,218.42,Gift Card,TX300186,C1,Noah,Evening,Sunday,1310.52
2025-01-02,20:08,S8,Store B,Printer,6,250.83,Credit Card,TX300187,C3,Olivia,Evening,Thursday,1504.98
2025-04-13,9:28,S3,Store A,Monitor,5,207.59,Gift Card,TX300188,C4,Mia,Morning,Sunday,1037.95
2025-04-05,11:13,S2,Store B,Monitor,3,79.33,Credit Card,TX300189,C5,Mia,Morning,Saturday,237.99
2023-03-24,11:42,S2,Store B,Monitor,6,75.73,Gift Card,TX300190,C1,Liam,Morning,Friday,454.38
2024-07-31,18:33,S10,Store A,Chair,3,198.77,Debit Card,TX300191,C5,Olivia,Evening,Wednesday,596.31
2024-03-05,20:34,S2,Store D,Desk,8,368.51,Credit Card,TX300192,C5,Olivia,Evening,Tuesday,2948.08
2023-03-11,20:03,S4,Store D,Tablet,3,280.12,Cash,TX300193,C4,Noah,Evening,Saturday,840.36
2023-11-01,18:42,S9,Store C,Phone,10,258.27,Gift Card,TX300194,C1,Olivia,Evening,Wednesday,2582.7
2023-11-19,11:53,S6,Store C,Laptop,4,208.83,Online,TX300195,C5,Olivia,Morning,Sunday,835.32
2024-07-26,16:10,S7,Store C,Chair,7,109.79,Debit Card,TX300196,C3,Olivia,Afternoon,Friday,768.53
2024-03-19,12:59,S2,Store C,Monitor,6,285.26,Credit Card,TX300197,C5,Liam,Afternoon,Tuesday,1711.56
2023-05-23,19:04,S8,Store B,Monitor,6,393.87,Credit Card,TX300198,C1,Liam,Evening,Tuesday,2363.22
2024-09-04,19:11,S7,Store C,Laptop,7,373.31,Online,TX300199,C5,Olivia,Evening,Wednesday,2613.17
2023-06-25,19:46,S1,Store B,Laptop,8,27.43,Debit Card,TX300200,C4,Noah,Evening,Sunday,219.44
2023-05-25,18:16,S6,Store A,Printer,5,320.56,Cash,TX300201,C4,Olivia,Evening,Thursday,1602.8
2023-04-16,14:57,S10,Store B,Phone,8,347.37,Gift Card,TX300202,C2,Olivia,Afternoon,Sunday,2778.96
2023-02-20,14:13,S4,Store B,Monitor,6,201.85,Online,TX300203,C4,Mia,Afternoon,Monday,1211.1
2025-03-16,15:01,S10,Store A,Tablet,8,28.73,Debit Card,TX300204,C2,Liam,Afternoon,Sunday,229.84
2023-02-02,17:48,S7,Store D,Printer,2,195.86,Cash,TX300205,C5,Mia,Evening,Thursday,391.72
2024-05-26,21:15,S8,Store A,Chair,9,362.87,Debit Card,TX300206,C5,Olivia,Evening,Sunday,3265.83
2024-03-23,21:41,S4,Store B,Printer,9,80.34,Debit Card,TX300207,C1,Olivia,Evening,Saturday,723.06
2023-04-01,18:19,S4,Store C,Monitor,5,363.82,Cash,TX300208,C4,Noah,Evening,Saturday,1819.1
2024-08-16,21:27,S6,Store B,Desk,9,33.81,Debit Card,TX300209,C1,Mia,Evening,Friday,304.29
2024-10-20,20:43,S5,Store A,Desk,1,72.67,Credit Card,TX300210,C4,Olivia,Evening,Sunday,72.67
2023-02-08,14:29,S3,Store D,Phone,3,94.42,Cash,TX300211,C1,Mia,Afternoon,Wednesday,283.26
2023-11-12,9:56,S9,Store D,Printer,5,337.42,Cash,TX300212,C3,Mia,Morning,Sunday,1687.1
2024-12-05,14:11,S4,Store D,Tablet,10,382.99,Credit Card,TX300213,C2,Mia,Afternoon,Thursday,3829.9
2024-12-01,18:07,S2,Store B,Chair,4,42.85,Credit Card,TX300214,C3,Noah,Evening,Sunday,171.4
2023-06-14,15:11,S6,Store C,Desk,10,210.94,Debit Card,TX300215,C3,Noah,Afternoon,Wednesday,2109.4
2023-02-23,20:02,S8,Store A,Printer,4,125.66,Debit Card,TX300216,C3,Noah,Evening,Thursday,502.64
2023-08-16,18:46,S2,Store D,Laptop,6,266.69,Online,TX300217,C5,Noah,Evening,Wednesday,1600.14
2025-03-24,16:28,S9,Store B,Desk,5,33.64,Gift Card,TX300218,C4,Olivia,Afternoon,Monday,168.2
2023-06-16,18:04,S5,Store A,Monitor,1,226.69,Debit Card,TX300219,C3,Liam,Evening,Friday,226.69
2023-03-02,15:50,S6,Store C,Laptop,10,48.17,Cash,TX300220,C2,Mia,Afternoon,Thursday,481.7
2023-03-26,16:39,S5,Store D,Desk,9,324.63,Cash,TX300221,C2,Noah,Afternoon,Sunday,2921.67
2025-06-26,9:52,S4,Store D,Phone,10,399.74,Credit Card,TX300222,C2,Liam,Morning,Thursday,3997.4
2024-12-11,19:47,S4,Store B,Tablet,10,309.33,Debit Card,TX300223,C4,Noah,Evening,Wednesday,3093.3
2023-01-13,14:25,S4,Store A,Chair,8,133.51,Credit Card,TX300224,C3,Mia,Afternoon,Friday,1068.08
2024-07-31,10:01,S3,Store A,Printer,9,244.78,Online,TX300225,C3,Noah,Morning,Wednesday,2203.02
2025-01-10,9:07,S3,Store A,Monitor,5,122.53,Gift Card,TX300226,C2,Mia,Morning,Friday,612.65
2023-06-12,21:49,S6,Store C,Tablet,5,133.33,Online,TX300227,C1,Mia,Evening,Monday,666.65
2024-06-02,9:50,S5,Store A,Tablet,3,303.35,Cash,TX300228,C3,Noah,Morning,Sunday,910.05
2025-06-01,16:39,S4,Store D,Phone,4,294.28,Debit Card,TX300229,C1,Olivia,Afternoon,Sunday,1177.12
2023-07-02,11:06,S5,Store D,Printer,4,201.46,Debit Card,TX300230,C4,Noah,Morning,Sunday,805.84
